store,timeformatted,in,out
RAV_DEMO,2019-10-10 20:00:00,8,8
RAV_DEMO,2019-10-11 07:00:00,157,254
RAV_DEMO,2019-10-11 08:00:00,10,19
RAV_DEMO,2019-10-11 09:00:00,8,7
RAV_DEMO,2019-10-11 10:00:00,13,67
RAV_DEMO,2019-10-11 11:00:00,1,11
RAV_DEMO,2019-10-11 12:00:00,0,0
RAV_DEMO,2019-10-11 13:00:00,0,0
RAV_DEMO,2019-10-11 14:00:00,0,5
RAV_DEMO,2019-10-11 15:00:00,8,98
RAV_DEMO,2019-10-11 16:00:00,1,51
RAV_DEMO,2019-10-11 17:00:00,3,21
RAV_DEMO,2019-10-11 18:00:00,215,323
RAV_DEMO,2019-10-11 19:00:00,13,14
RAV_DEMO,2019-10-12 07:00:00,103,199
RAV_DEMO,2019-10-12 08:00:00,0,1
RAV_DEMO,2019-10-12 09:00:00,0,0
RAV_DEMO,2019-10-12 10:00:00,0,0
RAV_DEMO,2019-10-12 11:00:00,0,0
RAV_DEMO,2019-10-12 12:00:00,0,0
RAV_DEMO,2019-10-12 13:00:00,0,0
RAV_DEMO,2019-10-12 14:00:00,0,0
RAV_DEMO,2019-10-12 15:00:00,0,22
RAV_DEMO,2019-10-12 16:00:00,1,71
RAV_DEMO,2019-10-12 17:00:00,2,15
RAV_DEMO,2019-10-12 18:00:00,105,155
RAV_DEMO,2019-10-12 20:00:00,6,11
RAV_DEMO,2019-10-13 07:00:00,109,191
RAV_DEMO,2019-10-13 08:00:00,0,0
RAV_DEMO,2019-10-13 09:00:00,0,2
RAV_DEMO,2019-10-13 10:00:00,0,0
RAV_DEMO,2019-10-13 11:00:00,0,0
RAV_DEMO,2019-10-13 12:00:00,0,0
RAV_DEMO,2019-10-13 13:00:00,0,0
RAV_DEMO,2019-10-13 14:00:00,0,0
RAV_DEMO,2019-10-13 15:00:00,0,12
RAV_DEMO,2019-10-13 16:00:00,1,13
RAV_DEMO,2019-10-13 17:00:00,0,0
RAV_DEMO,2019-10-13 18:00:00,94,144
RAV_DEMO,2019-10-13 19:00:00,1,0
RAV_DEMO,2019-10-13 20:00:00,7,9
RAV_DEMO,2019-10-14 07:00:00,125,228
RAV_DEMO,2019-10-14 08:00:00,0,2
RAV_DEMO,2019-10-14 09:00:00,0,0
RAV_DEMO,2019-10-14 10:00:00,3,4
RAV_DEMO,2019-10-14 11:00:00,1,2
RAV_DEMO,2019-10-14 12:00:00,0,0
RAV_DEMO,2019-10-14 13:00:00,0,0
RAV_DEMO,2019-10-14 14:00:00,2,6
